code,nameEn,nameSi,page,parent
GEN,General Information,සාමාන්‍ය තොරතුරු,11,
GEN-A,WARNING / CAUTION / NOTE,අවවාදයයි / සැලකිලිමත් වන්න / සටහන,12,GEN
GEN-B,General Precautions,පොදු පූර්වාරක්ෂාවන්,12,GEN
GEN-C,SUZUKI TU250X (’09-model),SUZUKI TU250X (’09-මෝඩලය),14,GEN
GEN-D,Serial Number Location,අනුක්‍රමික අංකය ස්ථානය,14,GEN
GEN-E,Fuel and Oil Recommendation,ඉන්ධන සහ තෙල් නිර්දේශ,15,GEN
GEN-F,Fuel,ඉන්ධන,15,GEN
GEN-G,Engine Oil,එන්ජින් තෙල්,15,GEN
GEN-H,Brake Fluid,බ්‍රේක් දියරය,15,GEN
GEN-I,Front Fork Oil,ඉදිරි ෆෝක් තෙල්,15,GEN
GEN-J,Break-in Procedures,බ්‍රේක්-ඉන් ක්‍රමවේද,15,GEN
GEN-K,Information Labels,තොරතුරු ලේබල,16,GEN
GEN-L,Specifications,විශේෂාංග,17,GEN
GEN-M,Dimensions and Curb Mass,ප්‍රමාණ සහ යටිතල බර,17,GEN
GEN-N,Engine,එන්ජිම,17,GEN
GEN-O,Drive Train,ඩ්‍රයිව් ට්‍රේන්,17,GEN
GEN-P,Chassis,චැසි,18,GEN
GEN-Q,Electrical,විදුලි,18,GEN
GEN-R,Capacities,ධාරිතා,18,GEN
PM,Periodic Maintenance,කාලානුරූප නඩත්තු කිරීම,19,
PM-A,Periodic Maintenance Schedule,කාලානුරූප නඩත්තු උපදෙස්,20,PM
PM-B,Periodic Maintenance Chart,කාලානුරූප නඩත්තු සටහන,20,PM
PM-C,Lubrication Points,ලිහිසි ස්ථාන,21,PM
PM-D,Maintenance and Tune-up Procedures,නඩත්තු සහ ටියුන්-අප් ක්‍රමවේද,22,PM
PM-E,Air Cleaner,ගාලන පිරිසිදුකරු,22,PM
PM-F,Valve Clearance,වాల්ව් පරතරය,23,PM
